cps19_votechoice,sex,province,education,age,cell,vote_liberal,vote_conservative
Green Party,Female,Quebec,university,25 to 34,Female 25 to 34 university,0,0
Liberal Party,Female,Quebec,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",1,0
ndp,Female,Ontario,university,25 to 34,Female 25 to 34 university,0,0
Conservative Party,Male,British Columbia,university,55 to 64,Male 55 to 64 university,0,1
Liberal Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",1,0
ndp,Male,Ontario,university,55 to 64,Male 55 to 64 university,0,0
Liberal Party,Female,Ontario,university,25 to 34,Female 25 to 34 university,1,0
Green Party,Female,Ontario,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",0,0
Conservative Party,Female,Saskatchewan,high school,55 to 64,Female 55 to 64 high school,0,1
Conservative Party,Male,Quebec,university,35 to 44,Male 35 to 44 university,0,1
Green Party,Male,Quebec,"technical,community college",35 to 44,"Male 35 to 44 technical,community college",0,0
Conservative Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,0,1
Liberal Party,Male,Alberta,university,35 to 44,Male 35 to 44 university,1,0
Liberal Party,Male,Ontario,university,25 to 34,Male 25 to 34 university,1,0
Liberal Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,1,0
Liberal Party,Male,Ontario,"technical,community college",25 to 34,"Male 25 to 34 technical,community college",1,0
Green Party,Male,Ontario,high school,35 to 44,Male 35 to 44 high school,0,0
Conservative Party,Male,Ontario,university,45 to 54,Male 45 to 54 university,0,1
Liberal Party,Male,Ontario,university,25 to 34,Male 25 to 34 university,1,0
Conservative Party,Male,Quebec,high school,55 to 64,Male 55 to 64 high school,0,1
Green Party,Female,British Columbia,university,55 to 64,Female 55 to 64 university,0,0
ndp,Female,Quebec,"technical,community college",25 to 34,"Female 25 to 34 technical,community college",0,0
Conservative Party,Female,Alberta,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",0,1
Liberal Party,Female,Manitoba,university,55 to 64,Female 55 to 64 university,1,0
Conservative Party,Female,Newfoundland and Labrador,"technical,community college",55 to 64,"Female 55 to 64 technical,community college",0,1
Liberal Party,Male,Alberta,university,45 to 54,Male 45 to 54 university,1,0
Conservative Party,Male,Quebec,university,55 to 64,Male 55 to 64 university,0,1
Conservative Party,Male,Saskatchewan,university,55 to 64,Male 55 to 64 university,0,1
Conservative Party,Female,Ontario,university,35 to 44,Female 35 to 44 university,0,1
Green Party,Male,Prince Edward Island,"technical,community college",55 to 64,"Male 55 to 64 technical,community college",0,0
Conservative Party,Male,Quebec,university,55 to 64,Male 55 to 64 university,0,1
Liberal Party,Male,Ontario,university,25 to 34,Male 25 to 34 university,1,0
Liberal Party,Male,Ontario,university,55 to 64,Male 55 to 64 university,1,0
Conservative Party,Male,Alberta,university,55 to 64,Male 55 to 64 university,0,1
Conservative Party,Female,Quebec,university,25 to 34,Female 25 to 34 university,0,1
Liberal Party,Female,Quebec,"technical,community college",45 to 54,"Female 45 to 54 technical,community college",1,0
Conservative Party,Female,Ontario,high school,55 to 64,Female 55 to 64 high school,0,1
Conservative Party,Male,Nova Scotia,university,45 to 54,Male 45 to 54 university,0,1
Liberal Party,Female,Ontario,university,45 to 54,Female 45 to 54 university,1,0
Green Party,Female,Quebec,high school,55 to 64,Female 55 to 64 high school,0,0
Green Party,Female,Ontario,high school,55 to 64,Female 55 to 64 high school,0,0
Liberal Party,Female,Manitoba,"technical,community college",35 to 44,"Female 35 to 44 technical,community college",1,0
